Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon API Gateway,0,0,0.00,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB)"
My Estimate,US East (Ohio),,Amazon Aurora PostgreSQL-Compatible DB,0,87.6,1051.20,USD,
My Estimate,US East (Ohio),,Amazon CloudFront,0,0,0.00,USD,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
